Act#Scene;0#0;1#1;1#2;1#3;1#4;1#5;2#5;2#6;3#6;4#6;5#6
ABRAHAM;0;1;0;0;0;0;0;0;0;0;0
APOTHECARY;0;0;0;0;0;0;0;0;0;0;1
BALTHASAR;0;0;0;0;0;0;0;0;0;0;1
BENVOLIO;0;1;1;0;1;1;1;0;1;0;0
CAPULET;0;1;1;0;0;1;0;0;1;1;1
CAPULET 2;0;0;0;0;0;1;0;0;0;0;0
CHORUS;1;0;0;0;0;1;0;0;0;0;0
CITIZEN 1;0;0;0;0;0;0;0;0;1;0;0
CITIZENS;0;1;0;0;0;0;0;0;0;0;0
FRIAR JOHN;0;0;0;0;0;0;0;0;0;0;1
FRIAR LAURENCE;0;0;0;0;0;0;1;1;1;1;1
GREGORY;0;1;0;0;0;0;0;0;0;0;0
JULIET;0;0;0;1;0;1;1;1;1;1;1
LADY CAPULET;0;1;0;1;0;0;0;0;1;1;1
LADY MONTAGUE;0;1;0;0;0;0;0;0;0;0;0
MERCUTIO;0;0;0;0;1;0;1;0;1;0;0
MONTAGUE;0;1;0;0;0;0;0;0;1;0;1
MUSICIAN 1;0;0;0;0;0;0;0;0;0;1;0
MUSICIAN 2;0;0;0;0;0;0;0;0;0;1;0
MUSICIAN 3;0;0;0;0;0;0;0;0;0;1;0
MUSICIANS;0;0;0;0;0;0;0;0;0;1;0
NURSE;0;0;0;1;0;1;1;0;1;1;0
PAGE;0;0;0;0;0;0;0;0;0;0;1
PARIS;0;0;1;0;0;0;0;0;1;1;1
PETER;0;0;0;0;0;0;1;0;0;1;0
PRINCE;0;1;0;0;0;0;0;0;1;0;1
PROLOGUE;1;0;0;0;0;1;0;0;0;0;0
ROMEO;0;1;1;0;1;1;1;1;1;0;1
SAMPSON;0;1;0;0;0;0;0;0;0;0;0
SERVANT;0;0;1;1;0;1;0;0;0;1;0
SERVANT 2;0;0;0;0;0;1;0;0;0;1;0
SERVANT 3;0;0;0;0;0;1;0;0;0;0;0
TYBALT;0;1;0;0;0;1;0;0;1;0;0
WATCH 1;0;0;0;0;0;0;0;0;0;0;1
WATCH 2;0;0;0;0;0;0;0;0;0;0;1
WATCH 3;0;0;0;0;0;0;0;0;0;0;1
