Character;Length;avg. Utterance Length;Percent
ABRAHAM;148;29.6;0.106005801669
APOTHECARY;306;76.5;0.219174157505
BALTHASAR;1327;110.583333333;0.950470937936
BENVOLIO;6895;106.076923077;4.93858109802
CAPULET;12281;245.62;8.79633277227
CAPULET 2;106;53.0;0.0759230741682
CHORUS;1404;702.0;1.00562260502
CITIZEN 1;162;81.0;0.116033377502
CITIZENS;111;111.0;0.0795043512517
FRIAR JOHN;558;139.5;0.399670522508
FRIAR LAURENCE;16019;286.053571429;11.4736955198
GREGORY;933;62.2;0.668266303764
JULIET;24333;206.211864407;17.4286430541
LADY CAPULET;5112;113.6;3.66149769008
LADY MONTAGUE;140;70.0;0.100275758335
MERCUTIO;11765;186.746031746;8.42674497726
MONTAGUE;1854;185.4;1.32793754253
MUSICIAN 1;360;45.0;0.257851950005
MUSICIAN 2;322;80.5;0.230634244171
MUSICIAN 3;39;39.0;0.0279339612506
MUSICIANS;12;12.0;0.00859506500018
NURSE;12113;134.588888889;8.67600186226
PAGE;454;113.5;0.325179959173
PARIS;3291;143.086956522;2.3571965763
PETER;1398;107.538461538;1.00132507252
PRINCE;3403;212.6875;2.43741718297
PROLOGUE;1456;728.0;1.04286788669
ROMEO;26954;165.36196319;19.3059485012
SAMPSON;1449;72.45;1.03785409877
SERVANT;1494;106.714285714;1.07008559252
SERVANT 2;561;93.5;0.401819288758
SERVANT 3;41;41.0;0.0293664720839
TYBALT;1633;96.0588235294;1.16964509544
WATCH 1;971;161.833333333;0.695484009598
WATCH 2;60;60.0;0.0429753250009
WATCH 3;150;150.0;0.107438312502
